algorithm,scenario,type,size,obj_value,cv_obj_value,runtime,cv_runtime
Simulated_Annealing,2,NC,500,123.7,69.91781906359599,40.591480292199996,75.74231720288354
Simulated_Annealing,2,NC,700,111.4,54.13719461863165,112.65989764179999,67.30967658770467
Simulated_Annealing,2,NC,800,130.3,17.594198634117095,147.28910900099999,56.262160070156966
Simulated_Annealing,2,NC,1000,68.0,71.07336019772973,173.37780825439998,94.81767560925435
Simulated_Annealing,3,C,300,944.3,14.862400164032131,33.840461666699994,156.8415163336932
Simulated_Annealing,3,C,500,1077.2,13.686449644755038,903.0529162846,58.71942765131553
Simulated_Annealing,3,C,700,1262.4,11.177419545282051,4468.634409208001,66.63419947962753
Simulated_Annealing,3,C,800,1369.3,18.007524520858595,8015.251342677601,46.472053094501305
Simulated_Annealing,3,C,1000,1627.0,19.78900846973853,13365.985885664752,48.43854366836281
Simulated_Annealing,3,NC,300,617.6,22.974382299829045,14.002886739000001,46.37447982089244
Simulated_Annealing,3,NC,500,978.3,26.291023675997412,1025.3876452686,57.607338103318874
Simulated_Annealing,3,NC,700,1534.75,2.4265404845895846,3950.38176511025,8.304610190014648
Simulated_Annealing,4,NC,300,618.8,28.395361056305397,6.6366563606,40.37336811541628
Simulated_Annealing,4,NC,500,1051.0,6.897736495696652,426.7134185327001,41.22054524792011
Simulated_Annealing,4,NC,700,1284.3,8.74662370385377,1790.6617916202,36.1852625852177
Simulated_Annealing,4,NC,800,1417.0,4.091937618722435,3015.0256870645,32.98748257264547
GRASP,1,C,300,596.9,2.8082967321670202,22.690951986199998,37.727681516689884
GRASP,1,C,500,731.6666666666666,7.308239899720577,474.87938164800005,24.135587629723553
GRASP,1,C,700,604.0,10.019558474675678,1112.2638748461,21.427415142714533
GRASP,1,C,800,549.3,10.404681193809761,1667.9570774231997,40.69589812983085
GRASP,1,C,1000,489.0,5.218175653443664,3104.8525983615,35.63169995072399
GRASP,1,FC,300,605.6,5.852683670957734,11.4844032771,32.316560404009586
GRASP,1,FC,500,703.8,4.29340622501553,406.387121029,27.090097049125095
